Director,total box office gross
Jon Favreau,1209729578
Peyton Reed,1141986104
Anthony and Joe Russo,6721322058
Joss Whedon,2925556584
Ryan Coogler,1349926083
Alan Taylor,644783140
Anna Boden and Ryan Fleck,1131416446
James Gunn,1637106198
Joe Johnston,370569774
Jon Watts,2012094920
Kenneth Branagh,449326618
louis Leterrier,264770996
Scott Derrickson,677796076
Shane Black,1215577205
Taika Waititi,855301806
